,Name,Brand channel,Subscribers (millions),Primary language,Category,Country,Mean Video Duration
0,MrBeast,No,335.0,English,Entertainment,United States,95
1,T-Series,Yes,280.0,Hindi,Music,India,95
2,Cocomelon - Nursery Rhymes,Yes,186.0,English,Education,United States,95
3,SET India,Yes,180.0,Hindi,Entertainment,India,95
4,Vlad and Niki,No,129.0,English,Entertainment,Russia,95
5,Kids Diana Show,Yes,128.0,English,Entertainment,United States  Ukraine,95
6,Like Nastya,No,123.0,English,Entertainment,United States  Ukraine,95
7,Zee Music,Yes,112.0,Hindi,Music,India,95
8,PewDiePie,No,110.0,English,Entertainment,Sweden  Japan,95
9,WWE,Yes,105.0,English,Sports,United States,95
10,Goldmines,Yes,101.0,Hindi,Film,India,95
11,Stokes Twins,No,100.0,English,Entertainment,United States,95
12,Sony SAB,Yes,97.5,Hindi,Entertainment,India,95
13,Blackpink,No,95.3,Korean,Music,South Korea,95
14,ChuChu TV Nursery Rhymes & Kids Songs,Yes,94.2,Hindi,Education,India,95
15,Zee TV,Yes,86.0,Hindi,Entertainment,India,95
16,5-Minute Crafts,Yes,81.1,English,How-to,Cyprus[a],95
17,BANGTANTV,No,79.4,Korean,Music,South Korea,95
18,Pinkfong,Yes,79.2,English,Education,South Korea,95
19,Colors TV,Yes,77.5,Hindi,Entertainment,India,95
20,Hybe Labels,Yes,76.2,Korean,Music,South Korea,95
21,Justin Bieber,No,74.4,English,Music,Canada,95
22,T-Series Bhakti Sagar,Yes,72.5,Hindi,Music,India,95
23,김프로KIMPRO,No,71.9,Korean,Entertainment,South Korea,95
24,UR · Cristiano,No,71.3,"Portuguese, English",Entertainment/Sports,Portugal,95
25,A4,No,71.1,Russian,Entertainment,Belarus,95
26,Tips Official,Yes,70.8,Hindi,Entertainment,India,95
27,Shemaroo Filmi Gaane,Yes,70.2,Hindi,Music,India,95
28,Alan Chikin Chow,No,69.2,English,Entertainment,United States,95
29,ZAMZAM ELECTRONICS TRADING,No,68.9,Arabic,Entertainment,United Arab Emirates,95
30,Aaj Tak,Yes,68.6,Hindi,News,India,95
31,Toys and Colors,No,67.9,English,Entertainment,United States,95
32,Canal KondZilla,Yes,67.5,Portuguese,Music,Brazil,95
33,El Reino Infantil,Yes,67.0,Spanish,Music,Argentina,95
34,Infobells - Hindi,Yes,66.6,Hindi,Education,India,95
35,Wave Music,Yes,63.6,Bhojpuri,Music,India,95
36,Eminem Music,No,63.2,English,Music,United States,95
37,YRF,Yes,62.8,Hindi,Music,India,95
38,Movieclips,Yes,62.8,English,Film,United States,95
39,Sony Music India,Yes,62.8,Hindi,Music,India,95
40,HAR PAL GEO,Yes,62.7,Urdu,Entertainment,Pakistan,95
41,KL BRO Biju Rithvik,No,62.2,Malayalam,Lifestyle Vlogs,India,95
42,Dude Perfect,No,60.6,English,Comedy,United States,95
43,Taylor Swift,No,60.4,English,Music,United States,95
44,Mark Rober,No,60.2,English,Education/Entertainment,United States,95
45,ARY Digital HD,Yes,59.7,Urdu,Entertainment,Pakistan,95
46,Fede Vigevani,No,59.4,Spanish,Entertainment,Mexico,95
47,LooLoo Kids,Yes,59.3,English,Music,Romania,95
48,BillionSurpriseToys,Yes,57.6,English,Entertainment,United States,95
49,Marshmello,No,57.5,English,Music,United States,95
